Name,Genres,Studio,Type,Score,Score Rank,Num. of episodes,Popularity Rank
Hellsing Ultimate,"['action', 'horror', 'supernatural']","['madhouse', 'satelight', 'graphinica']",ova,8.36,189,10,165
Kingdom 2nd Season,['action'],['studio pierrot'],tv,8.36,190,39,1732
Mahou Shoujo Madoka★Magica,"['drama', 'suspense']",['shaft'],tv,8.36,191,12,90
Doupo Cangqiong: San Nian Zhi Yue,"['action', 'fantasy']",['motion magic'],ona,8.35,192,13,8479
Gintama: Shiroyasha Koutan,"['action', 'comedy', 'sci-fi']",['sunrise'],special,8.35,193,1,2320
Given,"['boys love', 'drama', 'romance', 'slice of life']",['lerche'],tv,8.35,194,11,387
Gotcha!,['fantasy'],['bones'],music,8.35,195,1,3809
Kiseijuu: Sei no Kakuritsu,"['action', 'horror', 'sci-fi']",['madhouse'],tv,8.35,196,24,41
Made in Abyss Movie 2: Hourou Suru Tasogare,"['adventure', 'drama', 'fantasy', 'mystery', 'sci-fi']",['kinema citrus'],movie,8.35,197,1,1832
Psycho-Pass,"['action', 'sci-fi', 'suspense']",['production i.g'],tv,8.35,199,22,55
Major S6,"['comedy', 'drama', 'sports']",['synergysp'],tv,8.34,200,25,2450
Natsume Yuujinchou: Itsuka Yuki no Hi ni,"['drama', 'slice of life', 'supernatural']","['""brains base""']",ova,8.34,201,1,2117
Neon Genesis Evangelion,"['action', 'avant garde', 'drama', 'sci-fi']","['gainax', 'tatsunoko production']",tv,8.34,202,26,50
One Outs,['sports'],['madhouse'],tv,8.34,203,25,913
Uchuu Senkan Yamato 2199,"['action', 'drama', 'sci-fi']","['xebec', 'aic']",ova,8.34,204,26,1671
Versailles no Bara,"['drama', 'romance']",['tokyo movie shinsha'],tv,8.34,205,40,1963
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"['drama', 'slice of life', 'supernatural']",['a-1 pictures'],tv,8.34,206,11,56
Bakemonogatari,"['mystery', 'romance', 'supernatural']",['shaft'],tv,8.34,207,15,79
Fruits Basket: Prelude,"['drama', 'romance', 'slice of life']",['tms entertainment'],movie,8.34,208,1,2714
K-On! Movie,"['comedy', 'slice of life']",['kyoto animation'],movie,8.34,209,1,658
Katanagatari,"['action', 'adventure', 'romance']",['white fox'],tv,8.33,210,12,346
Kemono no Souja Erin,"['drama', 'fantasy', 'slice of life']","['production i.g', 'trans arts']",tv,8.33,211,50,2026
Mobile Suit Gundam: The Origin,"['action', 'sci-fi']",['sunrise'],ova,8.33,212,6,2325
Ookami to Koushinryou II,"['adventure', 'fantasy', 'romance']","['""brains base""', 'marvy jack']",tv,8.33,213,12,401
Romeo no Aoi Sora,"['adventure', 'drama', 'slice of life']",['nippon animation'],tv,8.33,214,33,2802
Natsume Yuujinchou,"['drama', 'slice of life', 'supernatural']","['""brains base""']",tv,8.32,215,13,370
Natsume Yuujinchou Go Specials,"['drama', 'slice of life', 'supernatural']",['shuka'],special,8.32,216,2,2987
NHK ni Youkoso!,"['comedy', 'drama', 'romance']",['gonzo'],tv,8.32,217,24,243
Sakamichi no Apollon,"['drama', 'romance']","['tezuka productions', 'mappa']",tv,8.32,218,12,543
Tenki no Ko,"['drama', 'fantasy', 'romance', 'slice of life']",['comix wave films'],movie,8.32,219,1,172
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou","['drama', 'fantasy', 'slice of life']",['kyoto animation'],special,8.32,220,1,721
World Trigger 3rd Season,"['action', 'sci-fi', 'supernatural']",['toei animation'],tv,8.32,221,14,2035
Boku dake ga Inai Machi,['mystery'],['a-1 pictures'],tv,8.32,222,12,31
Evangelion: 2.0 You Can (Not) Advance,"['action', 'drama', 'sci-fi']",['khara'],movie,8.32,223,1,386
Fate/stay night: Unlimited Blade Works 2nd Season,"['action', 'fantasy', 'supernatural']",['ufotable'],tv,8.32,224,13,185
"Komi-san wa, Comyushou desu. 2nd Season","['comedy', 'drama', 'slice of life']",['olm'],tv,8.32,226,0,881
Doukyuusei (Movie),"['boys love', 'romance', 'slice of life']",['a-1 pictures'],movie,8.31,227,1,850
Hotarubi no Mori e,"['drama', 'romance', 'supernatural']","['""brains base""']",movie,8.31,228,1,206
Hunter x Hunter: Original Video Animation,"['action', 'adventure', 'fantasy']",['nippon animation'],ova,8.31,229,8,1534
Initial D First Stage,"['action', 'drama']","['gallop', 'studio comet']",tv,8.31,230,26,625
Kuroko no Basket 3rd Season,['sports'],['production i.g'],tv,8.31,231,25,237
Major: World Series,"['comedy', 'drama', 'sports']",['synergysp'],ova,8.31,232,2,3275
Shelter (Music),['sci-fi'],['a-1 pictures'],music,8.31,233,1,620
Shinsekai yori,"['drama', 'horror', 'mystery', 'sci-fi', 'supernatural']",['a-1 pictures'],tv,8.31,234,25,217
Tensei shitara Slime Datta Ken 2nd Season Part 2,"['action', 'adventure', 'comedy', 'fantasy']",['8bit'],tv,8.31,235,12,337
Rurouni Kenshin: Meiji Kenkaku Romantan,"['action', 'adventure', 'comedy', 'romance']","['gallop', 'studio deen']",tv,8.3,236,94,402
Shirobako,"['comedy', 'drama']",['p.a. works'],tv,8.3,237,24,445
Steins;Gate: Oukoubakko no Poriomania,"['comedy', 'sci-fi']",['white fox'],special,8.3,238,1,458
Beck,"['comedy', 'drama', 'slice of life']",['madhouse'],tv,8.3,239,26,632
Detective Conan Movie 06: The Phantom of Baker Street,"['adventure', 'mystery']",['tms entertainment'],movie,8.3,240,1,2189
Diamond no Ace: Second Season,['sports'],"['production i.g', 'madhouse']",tv,8.3,241,51,1469
Dr. Stone,"['adventure', 'comedy', 'sci-fi']",['tms entertainment'],tv,8.3,242,24,60
Fate/Zero,"['action', 'fantasy', 'supernatural']",['ufotable'],tv,8.3,243,13,69
Hibike! Euphonium 2,['drama'],['kyoto animation'],tv,8.3,244,13,972
Kino no Tabi: The Beautiful World,"['action', 'adventure', 'slice of life']",['a.c.g.t.'],tv,8.3,245,13,718
Ashita no Joe,"['action', 'drama', 'slice of life', 'sports']",['mushi production'],tv,8.29,246,79,2071
Gintama: Shinyaku Benizakura-hen,"['action', 'comedy', 'sci-fi']",['sunrise'],special,8.29,247,1,3037
Tsubasa: Tokyo Revelations,"['action', 'adventure', 'drama', 'fantasy', 'romance']",['production i.g'],ova,8.29,248,3,1863
Nodame Cantabile,"['comedy', 'drama', 'romance', 'slice of life']",['j.c.staff'],tv,8.28,249,23,657
Redline,"['action', 'sci-fi']",['madhouse'],movie,8.28,250,1,582
Sasaki to Miyano,"['boys love', 'slice of life']",['studio deen'],tv,8.28,251,12,1583
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,"['comedy', 'drama', 'romance', 'supernatural']",['cloverworks'],tv,8.28,252,13,57
Stranger: Mukou Hadan,"['action', 'adventure']",['bones'],movie,8.28,253,1,634
Tokyo Godfathers,"['comedy', 'drama']",['madhouse'],movie,8.28,254,1,789
Bakemono no Ko,"['adventure', 'supernatural']",['studio chizu'],movie,8.28,255,1,489
Gin no Saji 2nd Season,"['comedy', 'slice of life']",['a-1 pictures'],tv,8.28,256,11,1377
Gyakkyou Burai Kaiji: Ultimate Survivor,['suspense'],['madhouse'],tv,8.28,257,26,610
Kono Subarashii Sekai ni Shukufuku wo! 2,"['adventure', 'comedy', 'fantasy']",['studio deen'],tv,8.28,258,10,75
Koukaku Kidoutai,"['action', 'sci-fi']",['production i.g'],movie,8.28,259,1,323
